id;otp;otp_sent;verification_success;otp_expired;otp_sent_time;sent_counter;fail_counter;otp_reset_counter;max_resend;max_reset;max_failures;otp_active_time;created_date;last_modified_date
1;quantifyin;true;false;true;2020-05-22T12:17:52;28548;81423;35420;77758;83603;12123;76027;2020-05-22T00:46:09;2020-05-21T23:33:25
2;neural Gib;true;false;true;2020-05-21T22:42:02;48432;66473;3293;88959;35437;13955;28405;2020-05-22T05:01:00;2020-05-22T12:19:39
3;Ergonomic ;false;true;false;2020-05-22T21:51:02;10663;23420;65521;7657;11688;94321;19400;2020-05-22T04:56:07;2020-05-22T03:42:17
4;Handcrafte;false;true;true;2020-05-22T17:32:39;5527;11309;14819;54068;52327;97418;93829;2020-05-22T07:59:00;2020-05-22T02:38:27
5;Berkshire ;true;false;false;2020-05-22T02:06:09;98401;59761;25151;12782;53857;22606;28398;2020-05-22T14:29:04;2020-05-22T17:41:37
6;Assimilate;false;false;false;2020-05-21T22:42:31;53329;48079;47496;45732;61281;98179;60089;2020-05-22T09:59:45;2020-05-22T11:44:24
7;Ranch cutt;true;true;false;2020-05-22T00:12:48;50080;60540;49664;18023;80359;3119;13872;2020-05-22T15:27:02;2020-05-22T00:27:35
8;monetize S;true;false;false;2020-05-22T17:26:08;97824;91700;8554;87227;90995;54134;13501;2020-05-22T02:39:07;2020-05-22T07:33:18
9;Realigned;false;false;false;2020-05-22T04:27:04;41928;30803;49992;13337;76935;75590;87679;2020-05-22T09:37:58;2020-05-22T16:30:00
10;Branding c;true;true;true;2020-05-22T12:26:32;1055;88832;64352;3342;67433;72904;30639;2020-05-22T01:14:00;2020-05-22T01:31:07
